stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_desc,stop_url,platform_code
"U6043N2743","Vlašim,obchodní centrum",49.70051,14.904735,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Vlašim,obchodní centrum",
"U9391N2744","Vlašim,žel.st.",49.700602,14.897716,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Vlašim,žel.st.",
"U6042N2745","Vlašim,Spořilov",49.709807,14.900918,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Vlašim,Spořilov",
"U5778N2746","Vlašim,Československé armády",49.707215,14.904198,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Vlašim,Československé armády",
"U7913N2747","Řimovice",49.696194,14.943466,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Řimovice",
"U5865N2748","Zdislavice,silo",49.68858,14.965862,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Zdislavice,silo",
"U5863N2749","Zdislavice",49.686162,14.975379,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Zdislavice",
"U7525N2750","Chlum",49.692795,14.99608,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Chlum",
"U9395N2751","Trhový Štěpánov,žel.st.",49.707778,15.009878,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Trhový Štěpánov,žel.st.",
"U5743N2752","Trhový Štěpánov,nám.",49.711667,15.012925,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Trhový Štěpánov,nám.",
"U6759N2753","Vlašim,záv.",49.69489,14.908343,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Vlašim,záv.",
"U4485N2754","Benešov,Vidlákova Lhota,rozc.",49.807397,14.649732,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Vidlákova Lhota,rozc.",
"U4486N2755","Benešov,Buková Lhota,rozc.",49.812769,14.644017,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Buková Lhota,rozc.",
"U4489N2756","Bukovany,Rozc.",49.824126,14.627403,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Bukovany,Rozc.",
"U4490N2757","Bukovany",49.824101,14.618245,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Bukovany",
"U601N2758","Roztyly",50.037458,14.477907,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Roztyly",
"U1549N2759","Pyšely,Nám.",49.877067,14.677949,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pyšely,Nám.",
"U1548N2760","Pyšely,Sokolovna",49.87498,14.678489,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pyšely,Sokolovna",
"U1547N2761","Pyšely,Hotel Doly",49.86734,14.660636,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pyšely,Hotel Doly",
"U1557N2762","Pyšely,Nová Ves",49.881053,14.686114,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pyšely,Nová Ves",
"U1555N2763","Pětihosty",49.885757,14.704406,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pětihosty",
"U1551N2764","Senohraby,Odb.",49.895181,14.713146,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Senohraby,Odb.",
"U1862N2765","Mirošovice",49.909641,14.719003,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Mirošovice",
"U1550N2766","Pyšely,Zaječice",49.895156,14.682073,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Pyšely,Zaječice",
"U7416N2767","Čakov",49.825714,14.836228,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Čakov",
"U7417N2768","Čakov,Tatouňovice",49.820338,14.836134,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Čakov,Tatouňovice",
"U7418N2769","Čakov,Vlkov",49.8132,14.832242,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Čakov,Vlkov",
"U5731N2770","Čakov,rozc.Zálesí",49.809784,14.820449,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Čakov,rozc.Zálesí",
"U5730N2771","Teplýšovice,Smilov",49.806021,14.816852,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice,Smilov",
"U5725N2772","Teplýšovice",49.806069,14.801682,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice",
"U5728N2773","Teplýšovice,Humenec,rozc.",49.802653,14.801729,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice,Humenec,rozc.",
"U5727N2774","Teplýšovice,Čeňovice,rozc.",49.797125,14.790341,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice,Čeňovice,rozc.",
"U5726N2775","Teplýšovice,Čeňovice",49.793209,14.794048,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice,Čeňovice",
"U7986N2776","Struhařov,Střížkov",49.785656,14.775897,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Struhařov,Střížkov",
"U7988N2777","Struhařov,Věřice",49.785105,14.770349,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Struhařov,Věřice",
"U7989N2778","Struhařov,Věřice,rozc.",49.7909,14.764383,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Struhařov,Věřice,rozc.",
"U7013N2779","Benešov,Okrouhlice",49.79093,14.752942,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Okrouhlice",
"U7014N2780","Benešov,Okrouhlice,lom",49.787697,14.741649,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Okrouhlice,lom",
"U7007N2781","Benešov,Červený Dvůr",49.785131,14.735958,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Červený Dvůr",
"U7008N2782","Benešov,Dlouhé Pole",49.782013,14.736618,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Dlouhé Pole",
"U7006N2783","Benešov,Boušice",49.77516,14.738296,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Benešov,Boušice",
"U7318N2784","Ostředek",49.834648,14.830646,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Ostředek",
"U4500N2785","Chlístov,Racek,osada",49.804036,14.662355,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Chlístov,Racek,osada",
"U5729N2786","Teplýšovice,Kochánov",49.793648,14.779285,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Teplýšovice,Kochánov",
"U7987N2787","Struhařov,Střížkov,rozc.",49.791912,14.772349,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Struhařov,Střížkov,rozc.",
"U2497N2788","Hradištko,U Rybníčku",49.86495,14.411022,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,U Rybníčku",
"U2498N2789","Hradištko,Zámek",49.8677,14.409896,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Zámek",
"U2499N2790","Hradištko,Osada",49.86839,14.420702,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Osada",
"U2512N2791","Hradištko,Pikovice,Pod Medníkem",49.873329,14.43234,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Pikovice,Pod Medníkem",
"U2500N2792","Hradištko,Pikovice,Obec",49.874713,14.427074,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Pikovice,Obec",
"U2501N2793","Hradištko,Pikovice,Most",49.877053,14.427395,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Pikovice,Most",
"U2496N2794","Hradištko,Rajchardov",49.861958,14.406356,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Rajchardov",
