service_id,date,exception_type
40,20231023,2
40,20231024,2
40,20231025,2
53,20231019,2
53,20231020,2
53,20231023,2
53,20231024,2
53,20231025,2
54,20231020,2
55,20231020,2
56,20231021,2
59,20231019,2
59,20231020,2
60,20231020,2
60,20231021,2
61,20231020,2
61,20231023,2
61,20231024,2
61,20231025,2
62,20231020,2
62,20231023,2
71,20231023,2
71,20231024,2
71,20231025,2
71,20231026,2
72,20231024,2
72,20231025,2
72,20231026,2
72,20231027,2
84,20231026,2
